Date,Open,High,Low,Close,Adj Close,Volume
2017-12-20,949.450012,951.549988,931.825012,934.075012,905.866699,4671752
2017-12-21,939.950012,942.500000,932.599976,934.150024,905.939392,3427272
2017-12-22,939.500000,940.000000,930.875000,938.325012,909.988281,2235452
2017-12-26,940.500000,941.400024,928.349976,934.174988,905.963623,3392848
2017-12-27,935.049988,935.150024,925.575012,928.375000,900.338867,1744692
2017-12-28,929.450012,940.450012,929.000000,939.025024,910.667236,4350260
2017-12-29,938.400024,939.599976,934.075012,936.200012,907.927490,3172936
2018-01-01,936.349976,940.375000,925.250000,927.250000,899.247742,3290258
2018-01-02,929.275024,937.500000,929.275024,936.174988,907.903198,2388158
2018-01-03,937.500000,939.125000,925.599976,926.325012,898.350647,2265644
2018-01-04,926.500000,932.750000,926.500000,929.950012,901.866211,1186888
2018-01-05,931.500000,934.025024,927.775024,931.799988,903.660339,1435434
2018-01-08,932.500000,935.349976,928.875000,930.299988,902.205688,2285154
2018-01-09,931.000000,934.924988,927.500000,931.849976,903.708862,2652764
2018-01-10,932.599976,933.950012,928.650024,932.099976,903.951294,2307944
2018-01-11,932.099976,938.000000,928.125000,936.275024,908.000244,2029548
2018-01-12,936.500000,939.075012,930.000000,932.650024,904.484680,2168354
2018-01-15,934.974976,952.200012,929.924988,948.875000,920.219666,6288222
2018-01-16,951.724976,955.000000,942.625000,950.075012,921.383484,3222692
2018-01-17,948.500000,951.275024,943.500000,945.250000,916.704224,1452748
2018-01-18,962.000000,977.000000,959.025024,967.150024,937.942871,8324770
2018-01-19,967.575012,979.950012,959.625000,976.099976,946.622498,5727994
2018-01-22,980.000000,994.000000,976.575012,981.674988,952.029175,4424884
2018-01-23,982.500000,983.349976,971.650024,975.650024,946.186096,2523898
2018-01-24,976.275024,984.500000,975.299988,978.825012,949.265259,2395284
2018-01-25,976.950012,990.000000,975.250000,987.474976,957.653931,4361834
2018-01-29,989.000000,1003.474976,989.000000,999.825012,969.631104,4117946
2018-01-30,998.900024,1000.950012,992.075012,997.750000,967.618652,3198780
2018-01-31,994.700012,1006.750000,993.500000,1002.849976,972.564636,3471674
2018-02-01,1003.000000,1007.500000,992.650024,995.575012,965.509399,3260710
2018-02-02,993.000000,994.950012,970.750000,974.000000,944.585938,3673062
2018-02-05,959.000000,967.625000,952.924988,956.924988,928.026550,3963392
2018-02-06,930.000000,956.000000,918.150024,948.400024,919.759094,5374902
2018-02-07,953.500000,953.500000,931.200012,936.400024,908.121399,4182486
2018-02-08,942.000000,949.299988,933.250000,940.474976,912.073364,2585722
2018-02-09,923.950012,932.349976,922.049988,924.750000,896.823303,3204476
2018-02-12,930.000000,943.000000,927.575012,938.325012,909.988281,2190554
2018-02-14,944.900024,948.950012,937.325012,941.575012,913.140137,1788594
2018-02-15,944.849976,947.375000,937.500000,940.950012,912.534058,2457612
2018-02-16,941.950012,947.424988,937.825012,939.299988,910.933899,1791760
2018-02-19,941.299988,943.799988,929.525024,939.099976,910.739807,1827276
2018-02-20,942.375000,942.924988,929.400024,931.599976,903.466309,2042034
2018-02-21,933.974976,934.275024,926.099976,928.700012,900.653992,1376536
